title;year;rate;country;category;director
Аладдин;2019;7.3;США, Великобритания, Австралия;мюзикл, фэнтези, мелодрама, комедия, приключения, семейный;Гай Ричи
Ласточки Христовы;2021;7.2;Россия;документальный;Юлия Бочарова
Титан;2020;5.9;Франция, Бельгия;фантастика, драма, триллер, криминал;Жюлия Дюкурно
Бэтмен;2022;7.9;США;боевик, драма, криминал, детектив;Мэтт Ривз
Далласский клуб покупателей;2013;7.9;США;драма, биография;Жан-Марк Валле
Круэлла;2021;7.5;США;комедия, криминал, драма;Крэйг Гиллеспи
История рыцаря;2001;7.8;США;боевик, мелодрама, комедия;Брайан Хелгеленд
Мания;2021;6.3;США;спорт, драма;Лорен Хэдэуэй
Пара из будущего;2021;6.7;Россия;комедия, фантастика, мелодрама;Алексей Нужный
Меланхолия;2011;7.0;Дания, Швеция, Франция, Германия;фантастика, драма;Ларс фон Триер
Своя война;2021;7.2;Россия;драма, триллер, военный;Алексей Чадов
Повелитель бури;2008;7.3;США;триллер, драма, военный;Кэтрин Бигелоу
Мама, я дома;2021;6.9;Россия;драма;Владимир Битоков
Время первых;2017;7.5;Россия;приключения, триллер, биография, история;Дмитрий Киселёв
Летчик;2021;7.4;Россия;военный, биография, драма, история;Ренат Давлетьяров
Гладиатор;2000;8.6;США, Великобритания, Мальта, Марокко;история, боевик, драма, приключения;Ридли Скотт
Аватар 2;2022;7.2;США;фантастика, боевик, триллер, приключения;Джеймс Кэмерон
Первый встречный;2022;6.5;США;мелодрама, комедия, музыка;Кэт Койро
Утомленные солнцем 2: Предстояние;2010;3.8;Россия;драма, военный;Никита Михалков
Бункер;2011;7.2;Колумбия, Испания;триллер, драма, детектив;Андрес Байс
Гран Торино;2008;8.1;США, Германия;драма;Клинт Иствуд
Типа крутые легавые;2007;7.6;Великобритания, Франция;боевик, триллер, комедия, детектив;Эдгар Райт
Гарри Поттер и Дары Смерти: Часть II;2011;8.1;Великобритания, США;фэнтези, детектив, приключения;Дэвид Йейтс
Пассажиры;2016;7.2;США, Австралия;фантастика, триллер, драма, мелодрама;Мортен Тильдум
Сноуден;2016;6.9;Великобритания, Франция, Германия, США;триллер, драма, криминал, биография;Оливер Стоун
Уроки фарси;2020;7.8;Россия, Германия, Беларусь;драма, военный;Вадим Перельман
Иди и смотри;1985;8.1;СССР;драма, военный, история;Элем Климов
Дитя погоды;2019;7.9;Япония;аниме, мультфильм, мелодрама, фэнтези;Макото Синкай
Дилер;1996;7.0;Дания;триллер, криминал;Николас Виндинг Рефн
Бешеные псы;1991;8.1;США;криминал, драма, триллер;Квентин Тарантино
Стражи Галактики;2014;7.8;США;фантастика, боевик, приключения, комедия;Джеймс Ганн
Трансформеры;2007;7.6;США;фантастика, боевик;Майкл Бэй
Ученик чудовища;2015;8.1;Япония;аниме, мультфильм, фэнтези, приключения;Мамору Хосода
День сурка;1993;8.1;США;фэнтези, драма, мелодрама, комедия;Харольд Рэмис
Гарри Поттер и Принц-полукровка;2009;7.8;Великобритания;фэнтези, приключения, семейный;Дэвид Йейтс
Тебе стоило уйти;2020;5.5;США, Великобритания;триллер, ужасы;Дэвид Кепп
Эффект бабочки;2003;8.2;США, Канада;фантастика, триллер, драма;Эрик Бресс, Дж. Макки Грубер
Гаттака;1997;8.0;США;фантастика, драма, мелодрама, детектив;Эндрю Никкол
Форсаж;2001;7.7;США, Германия;боевик, триллер, криминал;Роб Коэн
Аннетт;2020;7.1;Франция, Бельгия, Германия, США, Япония, Мексика, Швейцария;мюзикл, драма, мелодрама;Леос Каракс
Мой сосед Тоторо;1988;8.2;Япония;аниме, мультфильм, фэнтези, приключения, семейный;Хаяо Миядзаки
Главный герой;2021;7.4;США;фантастика, боевик, комедия, мелодрама;Шон Леви
Самый пьяный округ в мире;2012;7.5;США;драма, криминал, биография;Джон Хиллкоут
Бегущий в лабиринте;2014;6.8;США, Великобритания;фантастика, триллер, приключения;Уэс Болл
Плохие парни;2022;7.6;США;мультфильм, комедия, криминал, приключения, семейный;Пьер Перифел
Неогранённые алмазы;2019;7.1;США;триллер, драма, криминал;Бенни Сэфди, Джош Сэфди
Сядь за руль моей машины;2021;7.4;Япония;драма;Рюсукэ Хамагути
Женщина в окне;2021;5.9;США;триллер, криминал, детектив;Джо Райт
Ральф против интернета;2018;7.2;США;мультфильм, комедия, приключения, семейный, фантастика;Фил Джонстон, Рич Мур
Я — легенда;2007;7.9;США;фантастика, боевик, триллер, драма, приключения;Френсис Лоуренс
Капитан Волконогов бежал;2021;7.7;Россия, Эстония, Франция;триллер, драма;Наташа Меркулова, Алексей Чупов
Одиннадцать друзей Оушена;2001;8.1;США;криминал, триллер;Стивен Содерберг
Парк Юрского периода;1993;7.8;США;приключения, фантастика, семейный;Стивен Спилберг
Босс-молокосос 2;2021;7.3;США;мультфильм, комедия, приключения, семейный;Том МакГрат
Зеркало;1974;8.0;СССР;драма, биография;Андрей Тарковский
Не грози южному централу, попивая сок у себя в квартале;1995;7.2;США;комедия, криминал;Пэрис Барклай
Шпион;2015;7.1;США, Великобритания, Франция, Венгрия, Германия;боевик, комедия;Пол Фиг
Душа;2020;8.4;США;мультфильм, фэнтези, комедия, приключения, семейный, музыка;Пит Доктер, Кемп Пауэрс
Перелом;2007;7.7;США, Германия;триллер, драма, криминал;Грегори Хоблит
Любой ценой;2016;7.2;США;боевик, криминал, триллер, драма;Дэвид Маккензи
